Date,GoogleTrend,State
2014-07-13,67,NI
2014-07-20,58,NI
2014-07-27,74,NI
2014-08-03,74,NI
2014-08-10,64,NI
2014-08-17,68,NI
2014-08-24,63,NI
2014-08-31,71,NI
2014-09-07,60,NI
2014-09-14,63,NI
2014-09-21,56,NI
2014-09-28,64,NI
2014-10-05,62,NI
2014-10-12,62,NI
2014-10-19,66,NI
2014-10-26,65,NI
2014-11-02,71,NI
2014-11-09,71,NI
2014-11-16,61,NI
2014-11-23,78,NI
2014-11-30,86,NI
2014-12-07,86,NI
2014-12-14,100,NI
2014-12-21,72,NI
2014-12-28,69,NI
2015-01-04,66,NI
2015-01-11,59,NI
2015-01-18,58,NI
2015-01-25,67,NI
2015-02-01,68,NI
2015-02-08,63,NI
2015-02-15,62,NI
2015-02-22,54,NI
2015-03-01,61,NI
2015-03-08,58,NI
2015-03-15,58,NI
2015-03-22,57,NI
2015-03-29,72,NI
2015-04-05,56,NI
2015-04-12,63,NI
2015-04-19,57,NI
2015-04-26,70,NI
2015-05-03,64,NI
2015-05-10,58,NI
2015-05-17,65,NI
2015-05-24,60,NI
2015-05-31,61,NI
2015-06-07,58,NI
2015-06-14,68,NI
2015-06-21,63,NI
2015-06-28,78,NI
2015-07-05,71,NI
2015-07-12,77,NI
2015-07-19,68,NI
2015-07-26,87,NI
2012-12-30,62,NW
2013-01-06,63,NW
2013-01-13,50,NW
2013-01-20,56,NW
2013-01-27,54,NW
2013-02-03,58,NW
2013-02-10,55,NW
2013-02-17,62,NW
2013-02-24,52,NW
2013-03-03,58,NW
2013-03-10,54,NW
2013-03-17,64,NW
2013-03-24,60,NW
2013-03-31,56,NW
2013-04-07,61,NW
2013-04-14,51,NW
2013-04-21,66,NW
2013-04-28,56,NW
2013-05-05,60,NW
2013-05-12,65,NW
2013-05-19,54,NW
2013-05-26,62,NW
2013-06-02,56,NW
2013-06-09,58,NW
2013-06-16,69,NW
2013-06-23,60,NW
2013-06-30,74,NW
2013-07-07,61,NW
2013-07-14,72,NW
2013-07-21,61,NW
2013-07-28,79,NW
2013-08-04,60,NW
2013-08-11,74,NW
2013-08-18,65,NW
2013-08-25,73,NW
2013-09-01,62,NW
2013-09-08,67,NW
2013-09-15,52,NW
2013-09-22,66,NW
2013-09-29,55,NW
2013-10-06,66,NW
2013-10-13,55,NW
2013-10-20,68,NW
2013-10-27,62,NW
2013-11-03,67,NW
2013-11-10,60,NW
2013-11-17,74,NW
2013-11-24,70,NW
2013-12-01,80,NW
2013-12-08,82,NW
2013-12-15,100,NW
2013-12-22,67,NW
2013-12-29,71,NW
2014-01-05,75,NW
2014-01-12,59,NW
2014-01-19,72,NW
2014-01-26,64,NW
2014-02-02,73,NW
2014-02-09,64,NW
2014-02-16,77,NW
2014-02-23,61,NW
2014-03-02,78,NW
2014-03-09,60,NW
2014-03-16,77,NW
2014-03-23,61,NW
2014-03-30,72,NW
2014-04-06,60,NW
2014-04-13,76,NW
2014-04-20,63,NW
2014-04-27,80,NW
2014-05-04,77,NW
2014-05-11,67,NW
2014-05-18,77,NW
2014-05-25,63,NW
2014-06-01,76,NW
2014-06-08,61,NW
2014-06-15,79,NW
2014-06-22,68,NW
2014-06-29,85,NW
2014-07-06,72,NW
2014-07-13,84,NW
2014-07-20,73,NW
2014-07-27,85,NW
2014-08-03,84,NW
2014-08-10,83,NW
2014-08-17,87,NW
2014-08-24,64,NW
2014-08-31,81,NW
2014-09-07,67,NW
2014-09-14,76,NW
2014-09-21,61,NW
2014-09-28,77,NW
2014-10-05,74,NW
2014-10-12,70,NW
2014-10-19,77,NW
2014-10-26,68,NW
2014-11-02,83,NW
2014-11-09,79,NW
2014-11-16,72,NW
2014-11-23,91,NW
2014-11-30,89,NW
2014-12-07,90,NW
2014-12-14,99,NW
2014-12-21,87,NW
2014-12-28,77,NW
2015-01-04,79,NW
2015-01-11,73,NW
2015-01-18,70,NW
2015-01-25,86,NW
2015-02-01,76,NW
2015-02-08,77,NW
2015-02-15,86,NW
2015-02-22,69,NW
2015-03-01,80,NW
2015-03-08,69,NW
2015-03-15,84,NW
2015-03-22,70,NW
2015-03-29,86,NW
2015-04-05,72,NW
2015-04-12,77,NW
2015-04-19,70,NW
2015-04-26,85,NW
2015-05-03,86,NW
2015-05-10,79,NW
2015-05-17,90,NW
2015-05-24,74,NW
2015-05-31,86,NW
2015-06-07,72,NW
2015-06-14,95,NW
2015-06-21,81,NW
2015-06-28,99,NW
2015-07-05,80,NW
2015-07-12,91,NW
2015-07-19,83,NW
2015-07-26,97,NW
2012-12-30,38,RP
2013-01-06,46,RP
2013-01-13,33,RP
2013-01-20,41,RP
2013-01-27,38,RP
2013-02-03,42,RP
2013-02-10,38,RP
2013-02-17,54,RP
2013-02-24,39,RP
2013-03-03,46,RP
2013-03-10,40,RP
2013-03-17,49,RP
2013-03-24,44,RP
2013-03-31,46,RP
2013-04-07,49,RP
2013-04-14,40,RP
2013-04-21,49,RP
2013-04-28,41,RP
2013-05-05,42,RP
2013-05-12,55,RP
2013-05-19,47,RP
2013-05-26,47,RP
2013-06-02,43,RP
2013-06-09,42,RP
2013-06-16,53,RP
2013-06-23,46,RP
2013-06-30,51,RP
2013-07-07,38,RP
2013-07-14,46,RP
2013-07-21,44,RP
2013-07-28,52,RP
2013-08-04,40,RP
2013-08-11,36,RP
2013-08-18,36,RP
2013-08-25,47,RP
2013-09-01,39,RP
2013-09-08,45,RP
2013-09-15,34,RP
2013-09-22,39,RP
2013-09-29,41,RP
2013-10-06,43,RP
2013-10-13,40,RP
2013-10-20,49,RP
2013-10-27,44,RP
2013-11-03,43,RP
2013-11-10,35,RP
2013-11-17,47,RP
2013-11-24,48,RP
2013-12-01,53,RP
2013-12-08,49,RP
2013-12-15,63,RP
2013-12-22,43,RP
2013-12-29,50,RP
2014-01-05,52,RP
2014-01-12,41,RP
2014-01-19,49,RP
2014-01-26,39,RP
2014-02-02,49,RP
2014-02-09,46,RP
2014-02-16,59,RP
2014-02-23,42,RP
2014-03-02,57,RP
2014-03-09,38,RP
2014-03-16,49,RP
2014-03-23,41,RP
2014-03-30,46,RP
2014-04-06,47,RP
2014-04-13,50,RP
2014-04-20,50,RP
2014-04-27,59,RP
2014-05-04,49,RP
2014-05-11,42,RP
2014-05-18,52,RP
2014-05-25,45,RP
2014-06-01,53,RP
2014-06-08,46,RP
2014-06-15,54,RP
2014-06-22,44,RP
2014-06-29,57,RP
2014-07-06,49,RP
2014-07-13,68,RP
2014-07-20,55,RP
2014-07-27,68,RP
2014-08-03,74,RP
2014-08-10,65,RP
2014-08-17,72,RP
2014-08-24,63,RP
2014-08-31,70,RP
2014-09-07,57,RP
2014-09-14,61,RP
2014-09-21,54,RP
2014-09-28,63,RP
2014-10-05,61,RP
2014-10-12,58,RP
2014-10-19,66,RP
2014-10-26,65,RP
2014-11-02,65,RP
2014-11-09,67,RP
2014-11-16,63,RP
2014-11-23,83,RP
2014-11-30,85,RP
2014-12-07,88,RP
2014-12-14,100,RP
2014-12-21,68,RP
2014-12-28,73,RP
2015-01-04,71,RP
2015-01-11,64,RP
2015-01-18,66,RP
2015-01-25,75,RP
2015-02-01,70,RP
2015-02-08,73,RP
2015-02-15,83,RP
2015-02-22,67,RP
2015-03-01,73,RP
2015-03-08,74,RP
2015-03-15,76,RP
2015-03-22,67,RP
2015-03-29,82,RP
2015-04-05,81,RP
2015-04-12,75,RP
2015-04-19,77,RP
2015-04-26,90,RP
2015-05-03,76,RP
2015-05-10,67,RP
2015-05-17,77,RP
2015-05-24,69,RP
2015-05-31,83,RP
2015-06-07,76,RP
2015-06-14,85,RP
2015-06-21,74,RP
2015-06-28,54,RP
2015-07-05,50,RP
2015-07-12,55,RP
2015-07-19,54,RP
2015-07-26,68,RP
2012-12-30,53,SL
2013-01-06,27,SL
2013-01-13,34,SL
2013-01-20,30,SL
2013-01-27,25,SL
2013-02-03,48,SL
2013-02-10,48,SL
2013-02-17,32,SL
2013-02-24,26,SL
2013-03-03,41,SL
2013-03-10,23,SL
2013-03-17,61,SL
2013-03-24,47,SL
2013-03-31,62,SL
2013-04-07,50,SL
2013-04-14,46,SL
2013-04-21,54,SL
2013-04-28,36,SL
2013-05-05,38,SL
2013-05-12,41,SL
2013-05-19,48,SL
2013-05-26,33,SL
2013-06-02,36,SL
2013-06-09,46,SL
2013-06-16,48,SL
2013-06-23,55,SL
2013-06-30,44,SL
2013-07-07,25,SL
2013-07-14,67,SL
2013-07-21,49,SL
2013-07-28,56,SL
2013-08-04,43,SL
2013-08-11,47,SL
2013-08-18,40,SL
2013-08-25,51,SL
2013-09-01,54,SL
2013-09-08,55,SL
2013-09-15,41,SL
2013-09-22,39,SL
2013-09-29,49,SL
2013-10-06,48,SL
2013-10-13,43,SL
2013-10-20,41,SL
2013-10-27,42,SL
2013-11-03,35,SL
2013-11-10,28,SL
2013-11-17,47,SL
2013-11-24,35,SL
2013-12-01,49,SL
2013-12-08,54,SL
2013-12-15,77,SL
2013-12-22,48,SL
2013-12-29,34,SL
2014-01-05,45,SL
2014-01-12,55,SL
2014-01-19,59,SL
2014-01-26,49,SL
2014-02-02,39,SL
2014-02-09,42,SL
2014-02-16,45,SL
2014-02-23,40,SL
2014-03-02,43,SL
2014-03-09,32,SL
2014-03-16,48,SL
2014-03-23,42,SL
2014-03-30,53,SL
2014-04-06,37,SL
2014-04-13,53,SL
2014-04-20,45,SL
2014-04-27,33,SL
2014-05-04,57,SL
2014-05-11,34,SL
2014-05-18,50,SL
2014-05-25,37,SL
2014-06-01,47,SL
2014-06-08,69,SL
2014-06-15,48,SL
2014-06-22,64,SL
2014-06-29,36,SL
2014-07-06,33,SL
2014-07-13,47,SL
2014-07-20,49,SL
2014-07-27,48,SL
2014-08-03,48,SL
2014-08-10,69,SL
2014-08-17,59,SL
2014-08-24,60,SL
2014-08-31,72,SL
2014-09-07,51,SL
2014-09-14,52,SL
2014-09-21,54,SL
2014-09-28,55,SL
2014-10-05,50,SL
2014-10-12,53,SL
2014-10-19,24,SL
2014-10-26,52,SL
2014-11-02,55,SL
2014-11-09,67,SL
2014-11-16,78,SL
2014-11-23,81,SL
2014-11-30,85,SL
2014-12-07,74,SL
2014-12-14,84,SL
2014-12-21,60,SL
2014-12-28,36,SL
2015-01-04,62,SL
2015-01-11,49,SL
2015-01-18,44,SL
2015-01-25,66,SL
2015-02-01,55,SL
2015-02-08,61,SL
2015-02-15,74,SL
2015-02-22,50,SL
2015-03-01,65,SL
2015-03-08,71,SL
2015-03-15,64,SL
2015-03-22,51,SL
2015-03-29,81,SL
2015-04-05,63,SL
2015-04-12,45,SL
2015-04-19,69,SL
2015-04-26,62,SL
2015-05-03,76,SL
2015-05-10,74,SL
2015-05-17,92,SL
2015-05-24,58,SL
2015-05-31,100,SL
2015-06-07,47,SL
2015-06-14,67,SL
2015-06-21,48,SL
2015-06-28,47,SL
2015-07-05,66,SL
2015-07-12,66,SL
2015-07-19,43,SL
2015-07-26,54,SL
2012-12-30,66,SN
2013-01-06,64,SN
2013-01-13,55,SN
2013-01-20,59,SN
2013-01-27,50,SN
2013-02-03,59,SN
2013-02-10,55,SN
2013-02-17,59,SN
2013-02-24,50,SN
2013-03-03,56,SN
2013-03-10,51,SN
2013-03-17,67,SN
2013-03-24,58,SN
2013-03-31,54,SN
2013-04-07,61,SN
2013-04-14,52,SN
2013-04-21,61,SN
2013-04-28,52,SN
2013-05-05,59,SN
2013-05-12,55,SN
2013-05-19,51,SN
2013-05-26,62,SN
2013-06-02,46,SN
2013-06-09,57,SN
2013-06-16,70,SN
2013-06-23,55,SN
2013-06-30,72,SN
2013-07-07,58,SN
2013-07-14,65,SN
2013-07-21,66,SN
2013-07-28,74,SN
2013-08-04,59,SN
2013-08-11,73,SN
2013-08-18,66,SN
2013-08-25,73,SN
2013-09-01,61,SN
2013-09-08,58,SN
2013-09-15,52,SN
2013-09-22,62,SN
2013-09-29,51,SN
2013-10-06,67,SN
2013-10-13,59,SN
2013-10-20,60,SN
2013-10-27,63,SN
2013-11-03,71,SN
2013-11-10,62,SN
2013-11-17,83,SN
2013-11-24,72,SN
2013-12-01,70,SN
2013-12-08,89,SN
2013-12-15,100,SN
2013-12-22,62,SN
2013-12-29,67,SN
2014-01-05,68,SN
2014-01-12,58,SN
2014-01-19,63,SN
2014-01-26,53,SN
2014-02-02,67,SN
2014-02-09,52,SN
2014-02-16,73,SN
2014-02-23,56,SN
2014-03-02,63,SN
2014-03-09,54,SN
2014-03-16,65,SN
2014-03-23,55,SN
2014-03-30,63,SN
2014-04-06,59,SN
2014-04-13,73,SN
2014-04-20,55,SN
2014-04-27,72,SN
2014-05-04,67,SN
2014-05-11,60,SN
2014-05-18,72,SN
2014-05-25,60,SN
2014-06-01,66,SN
2014-06-08,60,SN
2014-06-15,75,SN
2014-06-22,61,SN
2014-06-29,77,SN
2014-07-06,65,SN
2014-07-13,75,SN
2014-07-20,62,SN
2014-07-27,78,SN
2014-08-03,71,SN
2014-08-10,70,SN
2014-08-17,80,SN
2014-08-24,60,SN
2014-08-31,68,SN
2014-09-07,62,SN
2014-09-14,66,SN
2014-09-21,59,SN
2014-09-28,69,SN
2014-10-05,66,SN
2014-10-12,62,SN
2014-10-19,68,SN
2014-10-26,59,SN
2014-11-02,70,SN
2014-11-09,71,SN
2014-11-16,72,SN
2014-11-23,88,SN
2014-11-30,83,SN
2014-12-07,89,SN
2014-12-14,96,SN
2014-12-21,73,SN
2014-12-28,63,SN
2015-01-04,70,SN
2015-01-11,59,SN
2015-01-18,62,SN
2015-01-25,65,SN
2015-02-01,65,SN
2015-02-08,63,SN
2015-02-15,66,SN
2015-02-22,55,SN
2015-03-01,65,SN
2015-03-08,59,SN
2015-03-15,64,SN
2015-03-22,55,SN
2015-03-29,65,SN
2015-04-05,54,SN
2015-04-12,64,SN
2015-04-19,58,SN
2015-04-26,66,SN
2015-05-03,68,SN
2015-05-10,53,SN
2015-05-17,68,SN
2015-05-24,66,SN
2015-05-31,70,SN
2015-06-07,61,SN
2015-06-14,70,SN
2015-06-21,64,SN
2015-06-28,81,SN
2015-07-05,66,SN
2015-07-12,81,SN
2015-07-19,70,SN
2015-07-26,81,SN
2012-12-30,67,ST
2013-01-06,76,ST
2013-01-13,59,ST
2013-01-20,76,ST
2013-01-27,53,ST
2013-02-03,64,ST
2013-02-10,54,ST
2013-02-17,76,ST
2013-02-24,61,ST
2013-03-03,66,ST
2013-03-10,56,ST
2013-03-17,69,ST
2013-03-24,73,ST
2013-03-31,69,ST
2013-04-07,64,ST
2013-04-14,58,ST
2013-04-21,66,ST
2013-04-28,60,ST
2013-05-05,69,ST
2013-05-12,66,ST
2013-05-19,67,ST
2013-05-26,80,ST
2013-06-02,51,ST
2013-06-09,54,ST
2013-06-16,75,ST
2013-06-23,64,ST
2013-06-30,72,ST
2013-07-07,65,ST
2013-07-14,80,ST
2013-07-21,59,ST
2013-07-28,76,ST
2013-08-04,76,ST
2013-08-11,67,ST
2013-08-18,69,ST
2013-08-25,68,ST
2013-09-01,64,ST
2013-09-08,67,ST
2013-09-15,58,ST
2013-09-22,69,ST
2013-09-29,58,ST
2013-10-06,76,ST
2013-10-13,68,ST
2013-10-20,75,ST
2013-10-27,56,ST
2013-11-03,72,ST
2013-11-10,66,ST
2013-11-17,79,ST
2013-11-24,67,ST
2013-12-01,92,ST
2013-12-08,94,ST
2013-12-15,100,ST
2013-12-22,54,ST
2013-12-29,60,ST
2014-01-05,67,ST
2014-01-12,61,ST
2014-01-19,67,ST
2014-01-26,62,ST
2014-02-02,75,ST
2014-02-09,63,ST
2014-02-16,76,ST
2014-02-23,54,ST
2014-03-02,70,ST
2014-03-09,54,ST
2014-03-16,68,ST
2014-03-23,51,ST
2014-03-30,72,ST
2014-04-06,54,ST
2014-04-13,75,ST
2014-04-20,51,ST
2014-04-27,66,ST
2014-05-04,68,ST
2014-05-11,58,ST
2014-05-18,79,ST
2014-05-25,64,ST
2014-06-01,64,ST
2014-06-08,57,ST
2014-06-15,76,ST
2014-06-22,62,ST
2014-06-29,82,ST
2014-07-06,67,ST
2014-07-13,62,ST
2014-07-20,57,ST
2014-07-27,73,ST
2014-08-03,84,ST
2014-08-10,68,ST
2014-08-17,79,ST
2014-08-24,75,ST
2014-08-31,76,ST
2014-09-07,63,ST
2014-09-14,75,ST
2014-09-21,59,ST
2014-09-28,72,ST
2014-10-05,78,ST
2014-10-12,60,ST
2014-10-19,70,ST
2014-10-26,67,ST
2014-11-02,74,ST
2014-11-09,79,ST
2014-11-16,79,ST
2014-11-23,81,ST
2014-11-30,92,ST
2014-12-07,78,ST
2014-12-14,93,ST
2014-12-21,64,ST
2014-12-28,65,ST
2015-01-04,78,ST
2015-01-11,58,ST
2015-01-18,60,ST
2015-01-25,65,ST
2015-02-01,72,ST
2015-02-08,73,ST
2015-02-15,70,ST
2015-02-22,52,ST
2015-03-01,64,ST
2015-03-08,69,ST
2015-03-15,68,ST
2015-03-22,67,ST
2015-03-29,65,ST
2015-04-05,60,ST
2015-04-12,63,ST
2015-04-19,53,ST
2015-04-26,67,ST
2015-05-03,66,ST
2015-05-10,63,ST
2015-05-17,63,ST
2015-05-24,65,ST
2015-05-31,68,ST
2015-06-07,67,ST
2015-06-14,76,ST
2015-06-21,77,ST
2015-06-28,82,ST
2015-07-05,73,ST
2015-07-12,91,ST
2015-07-19,67,ST
2015-07-26,95,ST
2012-12-30,69,SH
2013-01-06,65,SH
2013-01-13,56,SH
2013-01-20,56,SH
2013-01-27,46,SH
2013-02-03,47,SH
2013-02-10,50,SH
2013-02-17,56,SH
2013-02-24,41,SH
2013-03-03,53,SH
2013-03-10,49,SH
2013-03-17,58,SH
2013-03-24,60,SH
2013-03-31,49,SH
2013-04-07,64,SH
2013-04-14,42,SH
2013-04-21,58,SH
2013-04-28,60,SH
2013-05-05,61,SH
2013-05-12,60,SH
2013-05-19,51,SH
2013-05-26,67,SH
2013-06-02,52,SH
2013-06-09,57,SH
2013-06-16,68,SH
2013-06-23,55,SH
2013-06-30,70,SH
2013-07-07,58,SH
2013-07-14,67,SH
2013-07-21,57,SH
2013-07-28,74,SH
2013-08-04,65,SH
2013-08-11,68,SH
2013-08-18,54,SH
2013-08-25,61,SH
2013-09-01,56,SH
2013-09-08,67,SH
2013-09-15,49,SH
2013-09-22,55,SH
2013-09-29,49,SH
2013-10-06,62,SH
2013-10-13,59,SH
2013-10-20,61,SH
2013-10-27,53,SH
2013-11-03,68,SH
2013-11-10,56,SH
2013-11-17,73,SH
2013-11-24,72,SH
2013-12-01,70,SH
2013-12-08,81,SH
2013-12-15,100,SH
2013-12-22,59,SH
2013-12-29,64,SH
2014-01-05,67,SH
2014-01-12,49,SH
2014-01-19,61,SH
2014-01-26,52,SH
2014-02-02,64,SH
2014-02-09,52,SH
2014-02-16,62,SH
2014-02-23,44,SH
2014-03-02,61,SH
2014-03-09,42,SH
2014-03-16,55,SH
2014-03-23,52,SH
2014-03-30,53,SH
2014-04-06,57,SH
2014-04-13,64,SH
2014-04-20,51,SH
2014-04-27,70,SH
2014-05-04,65,SH
2014-05-11,55,SH
2014-05-18,66,SH
2014-05-25,54,SH
2014-06-01,61,SH
2014-06-08,49,SH
2014-06-15,67,SH
2014-06-22,55,SH
2014-06-29,78,SH
2014-07-06,57,SH
2014-07-13,68,SH
2014-07-20,68,SH
2014-07-27,80,SH
2014-08-03,68,SH
2014-08-10,58,SH
2014-08-17,79,SH
2014-08-24,58,SH
2014-08-31,67,SH
2014-09-07,48,SH
2014-09-14,63,SH
2014-09-21,51,SH
2014-09-28,63,SH
2014-10-05,66,SH
2014-10-12,58,SH
2014-10-19,63,SH
2014-10-26,55,SH
2014-11-02,71,SH
2014-11-09,63,SH
2014-11-16,65,SH
2014-11-23,80,SH
2014-11-30,86,SH
2014-12-07,84,SH
2014-12-14,99,SH
2014-12-21,76,SH
2014-12-28,65,SH
2015-01-04,68,SH
2015-01-11,55,SH
2015-01-18,50,SH
2015-01-25,69,SH
2015-02-01,60,SH
2015-02-08,62,SH
2015-02-15,69,SH
2015-02-22,55,SH
2015-03-01,65,SH
2015-03-08,55,SH
2015-03-15,66,SH
2015-03-22,56,SH
2015-03-29,70,SH
2015-04-05,51,SH
2015-04-12,63,SH
2015-04-19,53,SH
2015-04-26,70,SH
2015-05-03,68,SH
2015-05-10,61,SH
2015-05-17,59,SH
2015-05-24,62,SH
2015-05-31,64,SH
2015-06-07,48,SH
2015-06-14,70,SH
2015-06-21,61,SH
2015-06-28,84,SH
2015-07-05,65,SH
2015-07-12,77,SH
2015-07-19,68,SH
2015-07-26,87,SH
2012-12-30,56,TH
2013-01-06,69,TH
2013-01-13,50,TH
2013-01-20,47,TH
2013-01-27,39,TH
2013-02-03,51,TH
2013-02-10,42,TH
2013-02-17,58,TH
2013-02-24,38,TH
2013-03-03,52,TH
2013-03-10,53,TH
2013-03-17,65,TH
2013-03-24,60,TH
2013-03-31,50,TH
2013-04-07,55,TH
2013-04-14,46,TH
2013-04-21,65,TH
2013-04-28,45,TH
2013-05-05,52,TH
2013-05-12,60,TH
2013-05-19,50,TH
2013-05-26,57,TH
2013-06-02,60,TH
2013-06-09,53,TH
2013-06-16,68,TH
2013-06-23,50,TH
2013-06-30,60,TH
2013-07-07,51,TH
2013-07-14,72,TH
2013-07-21,55,TH
2013-07-28,75,TH
2013-08-04,71,TH
2013-08-11,68,TH
2013-08-18,61,TH
2013-08-25,68,TH
2013-09-01,58,TH
2013-09-08,63,TH
2013-09-15,51,TH
2013-09-22,63,TH
2013-09-29,51,TH
2013-10-06,56,TH
2013-10-13,43,TH
2013-10-20,67,TH
2013-10-27,59,TH
2013-11-03,68,TH
2013-11-10,65,TH
2013-11-17,72,TH
2013-11-24,57,TH
2013-12-01,94,TH
2013-12-08,90,TH
2013-12-15,100,TH
2013-12-22,58,TH
2013-12-29,64,TH
2014-01-05,68,TH
2014-01-12,52,TH
2014-01-19,66,TH
2014-01-26,43,TH
2014-02-02,68,TH
2014-02-09,55,TH
2014-02-16,66,TH
2014-02-23,47,TH
2014-03-02,68,TH
2014-03-09,57,TH
2014-03-16,68,TH
2014-03-23,60,TH
2014-03-30,61,TH
2014-04-06,56,TH
2014-04-13,62,TH
2014-04-20,55,TH
2014-04-27,53,TH
2014-05-04,61,TH
2014-05-11,57,TH
2014-05-18,75,TH
2014-05-25,53,TH
2014-06-01,57,TH
2014-06-08,54,TH
2014-06-15,61,TH
2014-06-22,47,TH
2014-06-29,66,TH
2014-07-06,58,TH
2014-07-13,74,TH
2014-07-20,51,TH
2014-07-27,74,TH
2014-08-03,63,TH
2014-08-10,68,TH
2014-08-17,80,TH
2014-08-24,57,TH
2014-08-31,59,TH
2014-09-07,66,TH
2014-09-14,65,TH
2014-09-21,58,TH
2014-09-28,68,TH
2014-10-05,66,TH
2014-10-12,64,TH
2014-10-19,59,TH
2014-10-26,66,TH
2014-11-02,68,TH
2014-11-09,63,TH
2014-11-16,72,TH
2014-11-23,80,TH
2014-11-30,89,TH
2014-12-07,96,TH
2014-12-14,83,TH
2014-12-21,72,TH
2014-12-28,71,TH
2015-01-04,58,TH
2015-01-11,55,TH
2015-01-18,52,TH
2015-01-25,66,TH
2015-02-01,73,TH
2015-02-08,69,TH
2015-02-15,65,TH
2015-02-22,60,TH
2015-03-01,67,TH
2015-03-08,61,TH
2015-03-15,71,TH
2015-03-22,55,TH
2015-03-29,68,TH
2015-04-05,60,TH
2015-04-12,59,TH
2015-04-19,50,TH
2015-04-26,69,TH
2015-05-03,60,TH
2015-05-10,59,TH
2015-05-17,63,TH
2015-05-24,65,TH
2015-05-31,69,TH
2015-06-07,60,TH
2015-06-14,75,TH
2015-06-21,67,TH
2015-06-28,76,TH
2015-07-05,74,TH
2015-07-12,73,TH
2015-07-19,73,TH
2015-07-26,67,TH
