model,variant,n_features,train_rows,valid_rows,weather,google_trends,unemployment,holidays,promo_weather,lags,rmspe,mae,r2,elapsed_seconds
random_forest,weather__unemployment__holidays__lags,52,785781,58611,True,False,True,True,False,True,0.1435657769003168,686.5572566052281,0.8974171327832273,127.24385189998428
random_forest,weather__google_trends__unemployment__holidays__lags,53,785781,58611,True,True,True,True,False,True,0.1437796781897968,686.7714854788195,0.8974738023433605,124.1447803999763
random_forest,unemployment__holidays__lags,43,785781,58611,False,False,True,True,False,True,0.1437913706194589,689.6685177329529,0.8968769263956072,92.73700369999278
random_forest,weather__google_trends__holidays__promo_weather__lags,55,785781,58611,True,True,False,True,True,True,0.1439239139749411,683.1786214823613,0.8983120253468483,131.3238177000312
random_forest,weather__holidays__promo_weather__lags,54,785781,58611,True,False,False,True,True,True,0.1439543438579806,683.6400097326721,0.8981194569090375,128.16976850002538
random_forest,google_trends__unemployment__holidays__lags,44,785781,58611,False,True,True,True,False,True,0.1440137469942679,689.8665055528472,0.8968655558902351,98.80839070002548
random_forest,weather__lags,48,785781,58611,True,False,False,False,False,True,0.1445257545948053,692.6077609215598,0.8964032995167639,129.98890650004614
random_forest,weather__unemployment__holidays__promo_weather__lags,55,785781,58611,True,False,True,True,True,True,0.1445867586927914,687.4320618265261,0.8971054306449229,131.16562900005374
random_forest,weather__google_trends__lags,49,785781,58611,True,True,False,False,False,True,0.1445956748650689,692.717819349912,0.8964449714271119,126.808848900022
random_forest,weather__google_trends__unemployment__holidays__promo_weather__lags,56,785781,58611,True,True,True,True,True,True,0.1447074569743767,687.1944886115107,0.8972102687728195,129.19525710004382
random_forest,weather__google_trends__promo_weather__lags,52,785781,58611,True,True,False,False,True,True,0.1454151691712724,693.5558570409396,0.896077071036137,125.3049955999013
random_forest,weather__promo_weather__lags,51,785781,58611,True,False,False,False,True,True,0.1456184708273635,693.3906925110774,0.8960409896227688,144.45216159999836
random_forest,weather__unemployment__lags,49,785781,58611,True,False,True,False,False,True,0.1459396301204467,698.9340284184696,0.8947591029618828,119.9512614000123
random_forest,weather__google_trends__unemployment__lags,50,785781,58611,True,True,True,False,False,True,0.1460094105204314,698.5888069278226,0.8949358923904864,126.9580483000027
random_forest,lags,39,785781,58611,False,False,False,False,False,True,0.146125561902107,702.8339572715604,0.893444488234692,84.84845139994286
random_forest,google_trends__lags,40,785781,58611,False,True,False,False,False,True,0.146204342574164,702.8040858688703,0.8936022052675523,89.49068619997706
random_forest,weather__unemployment__promo_weather__lags,52,785781,58611,True,False,True,False,True,True,0.1468244594217896,699.4017791143817,0.8945351348720427,138.48429130006116
random_forest,weather__google_trends__unemployment__promo_weather__lags,53,785781,58611,True,True,True,False,True,True,0.1469778298656691,699.4841537388903,0.8945314932374903,133.18994210008532
