model,rmspe,mae,r2
Store + DayOfWeek Mean,0.2270500786733094,1276.1930896025724,0.7073392481181779
Naive Lag-1,0.3093622310797981,1364.0062274999573,0.5444934515649851
Store Mean,0.3177335847415269,1486.6252148922185,0.5951561449807834
Naive Lag-7,0.4792948541565646,2433.9460340209175,0.03069844612973216
